field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000]
. Chi phí xây dựng cơ bản dở dang__1,142313493634.0,96500178690.0,,1153851142.0,54263205632.0,89401821639.0,,,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,91083838352.0,149403179155.0,,246250214239.0,123675827009.0,134335909588.0,134779875198.0,,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,,,,83676726251.0,76816000958.0,77105515786.0,76714603534.0,,87995974732.0,108845454437.0,116217277731.0,119207457305.0,31885396709.0,21948658616.0,21500000000.0,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,91200000000.0,90190000000.0,,48950000000.0,48950000000.0,60181579000.0,62728309000.0,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,-116161648.0,-786820845.0,,-1699785761.0,-8950899242.0,-4161670370.0,-5053949588.0,,,,-469371998.0,-469371998.0,-721565434.0,-721565434.0,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,60000000000.0,,199000000000.0,,1500000000.0,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,501071147747.0,303432795072.0,,117069478284.0,123820997700.0,17427576982.0,15037494168.0,7284399228.0,,731722814.0,450000000.0,450000000.0,1401780000.0,,,750188750.0,,,,,,
. Chi phí trả trước dài hạn__1,494276517642.0,286208283499.0,,117069478284.0,123820997700.0,16114427693.0,14587494168.0,6834399228.0,,25884772.0,,,879280000.0,,,750188750.0,,,,,,
. Tài sản thuế thu nhập hoãn lại__1,6794630105.0,17224511573.0,,,,1313149289.0,450000000.0,450000000.0,,705838042.0,450000000.0,,522500000.0,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,,,,,450000000.0,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,1786012429435.0,2003613451374.0,,1590547655319.0,1244420580238.0,1375057627376.0,1105782624479.0,1114028385137.0,,834244482684.0,720089893616.0,822882471837.0,766185868878.0,567961185602.0,423296720592.0,453594000959.0,,,,,,
I - NỢ PHẢI TRẢ__1,689016926104.0,1034219009984.0,,1116203178291.0,819738695282.0,974680968632.0,722833205569.0,723913653264.0,,499002028543.0,391407027045.0,504227632593.0,484735892308.0,309134982112.0,268953091781.0,349494429465.0,,,,,,
. Nợ ngắn hạn__1,94204191470.0,415345550368.0,,466756239610.0,256044936254.0,434273942617.0,232653242438.0,291298408283.0,,256900740550.0,180207844563.0,273694958851.0,438335892308.0,272133482112.0,268953091781.0,346923959418.0,,,,,,
.. Phải trả người bán ngắn hạn__1,2191168438.0,7092447815.0,,15008711316.0,3942607002.0,25624479243.0,61794949559.0,,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,95358306.0,237909722224.0,,368307677357.0,192886740092.0,305668783339.0,81827829585.0,,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,2761437286.0,21647978336.0,,28451959211.0,37934652.0,12170295234.0,6747395002.0,6839547836.0,,19104495451.0,2567949391.0,43045774658.0,11906056773.0,17033844732.0,3216900826.0,1694938121.0,,,,,,
.. Phải trả người lao động__1,4688982203.0,10434042056.0,,5790822206.0,2058340301.0,7258929044.0,9254896520.0,5340275135.0,,11027015497.0,8174937752.0,5986311291.0,4424410500.0,1808168870.0,2371994089.0,2783892189.0,,,,,,
.. Chi phí phải trả ngắn hạn__1,35132671585.0,87393163789.0,,507910000.0,592500000.0,2904555455.0,3055693875.0,,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,10112000000.0,,,,8649632006.0,8649632006.0,26629700231.0,10707086552.0,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,25661521493.0,24902314863.0,,23274501416.0,19616991380.0,17834239633.0,15943187486.0,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,2229496181.0,1119487886.0,,18056426271.0,27461539271.0,32547772192.0,45549569495.0,,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,,,,,,10939783838.0,3000000000.0,,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",21443555978.0,24846393399.0,,7358231833.0,9448283556.0,9213104639.0,5479720916.0,,,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,594812734634.0,618873459616.0,,649446938681.0,563693759028.0,540407026015.0,490179963131.0,432615244981.0,,242101287993.0,211199182482.0,230532673742.0,46400000000.0,37001500000.0,,2570470047.0,,,,,,
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,594757064634.0,618817789616.0,,649391268681.0,563638089028.0,540011356015.0,490113963131.0,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,55670000.0,55670000.0,,55670000.0,55670000.0,395670000.0,66000000.0,51000000.0,,,,,,37001500000.0,,1415470047.0,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,1096995503331.0,969394441390.0,,474344477028.0,424681884956.0,400376658744.0,382949418910.0,360004662931.0,,322393374198.0,315941817943.0,306476279420.0,270175238904.0,248084196788.0,144639179682.0,94392224552.0,,,,,,
I. Vốn chủ sở hữu__1,1096995503331.0,969394441390.0,,474344477028.0,424681884956.0,400376658744.0,382949418910.0,,,,,,,,,,,,,,,
. Vốn góp của chủ sở hữu__1,303047580000.0,303047580000.0,,107000000000.0,107000000000.0,107000000000.0,107000000000.0,,,,,,,,,,,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết__1,303047580000.0,303047580000.0,,107000000000.0,107000000000.0,107000000000.0,107000000000.0,,,,,,,,,,,,,,,
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,,
. Thặng dư vốn cổ phần__1,69279269740.0,69279269740.0,,69279269740.0,69279269740.0,69279269740.0,69279269740.0,,,,,,,,,,,,,,,
. Quyền chọn chuyển đổi trái phiếu__1,,,,,,,,,,,,,,,,,,,,,,
. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu quỹ (*)__1,-1407670000.0,-1407670000.0,,-1407670000.0,-1407670000.0,-1407670000.0,-1407670000.0,,,,,,,,,,,,,,,
. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch tỷ giá hối đoái__1,,,,,,,,,,,,,,,,,,,,,,
. Quỹ đầu tư phát triển__1,82824841079.0,46417650079.0,,146966696079.0,146966696079.0,147599718554.0,138995191506.0,,,,,,,,,,,,,,,
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,,,
. Quỹ khác thuộc vốn chủ sở hữu__1,16675061926.0,16675061926.0,,16675061926.0,16675061926.0,19449109926.0,16675061926.0,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế chưa phân phối__1,626576420586.0,535382549645.0,,135831119283.0,86168527211.0,46608718310.0,39221462733.0,,,,,,,,,,,,,,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,151713354941.0,177827058841.0,,54654084072.0,37601780263.0,33552503559.0,38087885279.0,,,,,,,,,,,,,,,
- LNST chưa phân phối kỳ này__1,474863065645.0,357555490804.0,,81177035211.0,48566746948.0,13056214751.0,1133577454.0,,,,,,,,,,,,,,,
. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,,,
. Lợi ích cổ đông không kiểm soát__1,,,,,,11847512214.0,13186103005.0,,,,,,,,,,,,,,,
. Phụ trội hợp nhất công ty con__1,,,,,,,,,,,,,,,,,,,,,,
. Nguồn kinh phí và các quỹ khác__1,,,,,,,,,,,,,9248883899.0,10123014720.0,10128486167.0,6295054393.0,,,,,,
.. Nguồn kinh phí__1,,,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí đã hình thành TSCĐ__1,,,,,,,,,,,,,,,,,,,,,,
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ__1,,,,,,,,30110068942.0,,12849079943.0,12741048628.0,12178559824.0,11274737666.0,10742006702.0,9704449129.0,9707346942.0,,,,,,
