field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003]
.. Quỹ khen thưởng phúc lợi__1,,,,,,,,573687341814.0,440547796334.0,298654690231.0,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__2,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__1,,,,,,,,,,,,,,,,,,,
. Quỹ thưởng ban quản lý điều hành công ty__1,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,13638788678967.0,15444563142147.0,,15154564400970.0,14424359308123.0,14028310691073.0,16085913879279.0,12027111674589.0,8562706377067.0,7503122767255.0,,,,,,,,,
.. Phải trả dài hạn người bán__1,,,,,,,11941547164.0,,,,,,,,,,,,
.. Phải trả dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,63393074867.0,77852184940.0,,90353729680.0,80806885194.0,62249832541.0,30602441029.0,10321063668.0,8986951065.0,5605986011.0,,,,,,,,,
.. Vay và nợ dài hạn__1,13565918596579.0,,,,,,,12007833070366.0,8522666597292.0,7486828258362.0,,,,,,,,,
.. Thuế thu nhập hoãn lại phải trả__1,407711498.0,,,,,,,,,,,,,,,,,,
.. Dự phòng trợ cấp mất việc làm__1,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,9069296023.0,21110974445.0,,20850000000.0,16000000000.0,,2924548197347.0,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__2,,,,,,,,8957540555.0,31052828710.0,10688522882.0,,,,,,,,,
.. Quỹ phát triển khoa học công nghệ__1,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,37652691877590.0,37565218479887.0,,30748805744384.0,27384495248999.0,25053686312950.0,20614651997441.0,19826592483421.0,16938468011895.0,14777190580165.0,,,,,,,,,
. Vốn chủ sở hữu__1,37652691877590.0,,,,,,,19825955155921.0,16937830684395.0,14776553252665.0,,,,,,,,,
.. Vốn đầu tư của chủ sở hữu__1,,,,,,,,11132161357336.0,10610862860436.0,6271428111350.0,,,,,,,,,
.. Thặng dư vốn cổ phần__1,14602790587.0,,,,,,,,,,,,,,,,,,
.. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,
.. Cổ phiếu quỹ (*)__1,-2918680000.0,,,,,,,,,,,,,,,,,,
.. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,
.. Chênh lệch tỷ giá hối đoái__1,,,,,,,,,,,,,,,,,,,
.. Quỹ đầu tư phát triển__1,6034593641645.0,,,,,,,863385121637.0,439565419365.0,3636312163967.0,,,,,,,,,
.. Quỹ dự phòng tài chính__1,,,,,,,,,,655369536513.0,,,,,,,,,
.. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,
.. Lợi nhuận sau thuế chưa phân phối__1,9792696331399.0,,,,,,,3137349052984.0,1804257929986.0,675611778671.0,,,,,,,,,
.. Nguồn vốn đầu tư XDCB__1,,,,,,,,4347257855296.0,4082582139564.0,3537276554654.0,,,,,,,,,
.. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,345801768668.0,562335044.0,555107510.0,,,,,,,,,
.. Quỹ dự trữ vốn điều lệ__1,,,,,,,,,,,,,,,,,,,
. Nguồn kinh phí và các quỹ khác__1,,,,,,,637327500.0,637327500.0,637327500.0,637327500.0,,,,,,,,,
.. Quỹ khen thưởng phúc lợi__2,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí__1,,,,,,,637327500.0,637327500.0,637327500.0,637327500.0,,,,,,,,,
.. Nguồn kinh phí đã hình thành TSCĐ__1,,,,,,,,,,,,,,,,,,,
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ__1,,,,,,,,,,,,,,,,,,,
Tổng cộng nguồn vốn__1,54979483924113.0,56902290813532.0,,53523988091378.0,49162925380362.0,47336713540858.0,44851705733557.0,41807846927800.0,33770051959149.0,29421341328603.0,,,,,,,,,
.. Chứng khoán kinh doanh__1,,,,,,28644000000.0,28851577500.0,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,-28644000000.0,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,32717000000000.0,33185000000000.0,,23730400000000.0,17563000000000.0,13640000000000.0,12835400000000.0,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,1685517889556.0,1064574052577.0,,591404310929.0,635700153017.0,738376356617.0,1053856872618.0,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,1685517889556.0,1064574052577.0,,591404310929.0,635700153017.0,738376356617.0,1053856872618.0,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,2707393172017.0,2890880282869.0,,2791368801651.0,2695061532587.0,1240339095909.0,642381611143.0,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,234800000000.0,184800000000.0,,184800000000.0,184800000000.0,299053465162.0,236368936500.0,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,6325024125.0,,,,,,,,,,,,,
.. Phải trả người bán ngắn hạn__1,606684265758.0,823447129546.0,,1142847500946.0,1124603708409.0,1307996288635.0,1261450022044.0,,,,,,,,,,,,
