field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001]
. Đầu tư tài chính dài hạn__1,105317423994.0,102412820589.0,86483458082.0,87233693082.0,87233693082.0,20600000000.0,600000000.0,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,3605000000.0,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",105317423994.0,102412820589.0,86483458082.0,87233693082.0,87233693082.0,20000000000.0,,,,,,,,,9431200000.0,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,,,,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,600000000.0,600000000.0,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,53724181978.0,97264415268.0,52901669763.0,49794323682.0,72153168788.0,15917265085.0,17179313254.0,21159434093.0,12770745133.0,9328704263.0,8634689874.0,8819696191.0,6427324262.0,3931622972.0,350877763.0,3411145697.0,,,,,
. Chi phí trả trước dài hạn__1,53724181978.0,97264415268.0,52901669763.0,48612531433.0,69789584259.0,12371888276.0,12452144165.0,15713313093.0,12770745133.0,9328704263.0,8634689874.0,8819696191.0,6427324262.0,3931622972.0,350877763.0,3411145697.0,,,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,,,5446121000.0,,,,,,,,,,,,,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,1181792249.0,2363584529.0,3545376809.0,4727169089.0,5908961369.0,7090753647.0,8272545922.0,9454338197.0,10636130472.0,11817922747.0,,,,,,,,
Tổng cộng tài sản__1,10862554292155.0,10101271295241.0,9591924923000.0,8350013449187.0,6989215957214.0,5529271823459.0,4615210727082.0,4220361698512.0,4013797151063.0,3550505115372.0,3201861704999.0,2150203655325.0,1394589024992.0,812543952201.0,619373987783.0,357903791365.0,,,,,
I - NỢ PHẢI TRẢ__1,6176631172021.0,5894311104553.0,6565967444140.0,5603485031551.0,4486599351977.0,3190129918957.0,2668763190851.0,2390099865524.0,2291138632781.0,2174183246443.0,1970716265307.0,1374876801212.0,771581014493.0,510820137620.0,479004063344.0,276183848815.0,,,,,
. Nợ ngắn hạn__1,5171698802616.0,4254585526684.0,4819677610567.0,4075302630398.0,3462415430265.0,2629726611851.0,2410964470019.0,2214923420923.0,2160103708517.0,2025079752628.0,1458560660352.0,940977224341.0,538980442582.0,348338815021.0,405365921964.0,223830435195.0,,,,,
.. Phải trả người bán ngắn hạn__1,1392462971688.0,1012195989287.0,911471772009.0,923066017552.0,564133761601.0,318465823911.0,533868654105.0,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,587892997501.0,551700415109.0,409518549142.0,207002414629.0,132251259340.0,146773275335.0,18943829017.0,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,79595359969.0,139469312438.0,16947122909.0,28615521027.0,64929269084.0,43162156602.0,30261135514.0,50119681767.0,65416143782.0,55062394815.0,37362106980.0,73593207556.0,11951159036.0,9549001591.0,10397574630.0,281143992.0,,,,,
.. Phải trả người lao động__1,108528018556.0,107242325439.0,68008963209.0,51473030174.0,61932931356.0,59356318445.0,36330229654.0,30944486013.0,31156827465.0,25108498329.0,39043399957.0,13308480240.0,10810260458.0,6916444193.0,2902989215.0,2713527933.0,,,,,
.. Chi phí phải trả ngắn hạn__1,76535166955.0,63513690868.0,100928013516.0,50130284201.0,93182143087.0,44992869107.0,104281720548.0,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,237509235531.0,200407630424.0,31895577346.0,58155368506.0,234542842167.0,243673194072.0,158578359433.0,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,2599459320679.0,2157941495382.0,3237818548314.0,2710566910187.0,2293804036508.0,1758904536941.0,1509505245347.0,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,46293084122.0,,,,,,,,,,1277498003.0,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",89715731737.0,22114667737.0,43089064122.0,,17639187122.0,14398437438.0,19195296401.0,,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,1004932369405.0,1639725577869.0,1746289833573.0,1528182401153.0,1024183921712.0,560403307106.0,257798720832.0,175176444601.0,131034924264.0,149103493815.0,512155604955.0,433899576871.0,232600571911.0,162481322599.0,73638141380.0,52353413620.0,,,,,
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,317697452372.0,396206152278.0,331059870787.0,241022410774.0,10881637600.0,5245555800.0,8842868300.0,7284668300.0,5499328000.0,3999987500.0,2177242000.0,1732485000.0,31315678880.0,22336685105.0,295000000.0,218600000.0,,,,,
. Vay và nợ thuê tài chính dài hạn__1,687234917033.0,1243519425591.0,1415229962786.0,1287159990379.0,1013302284112.0,555157751306.0,248955852532.0,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,4685923120134.0,4206960190688.0,3025957478860.0,2746528417636.0,2502616605237.0,2339141904502.0,1946447536231.0,1830261832988.0,1722658518282.0,1376321868929.0,1231145439692.0,763526854113.0,611208010499.0,297223814581.0,140369924439.0,81719942550.0,,,,,
I. Vốn chủ sở hữu__1,4685923120134.0,4206960190688.0,3025957478860.0,2746528417636.0,2502616605237.0,2339141904502.0,1946447536231.0,,,,,,,,,,,,,,
. Vốn góp của chủ sở hữu__1,1152394300000.0,1047639110000.0,910998280000.0,828184650000.0,828184650000.0,752899590000.0,627419230000.0,,,,,,,,,,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết__1,1152394300000.0,1047639110000.0,910998280000.0,828184650000.0,828184650000.0,752899590000.0,,,,,,,,,,,,,,,
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,
. Thặng dư vốn cổ phần__1,418432992221.0,418432992221.0,418432992221.0,418432992221.0,418432992221.0,418432992221.0,418432992221.0,,,,,,,,,,,,,,
. Quyền chọn chuyển đổi trái phiếu__1,,,,,,,,,,,,,,,,,,,,,
. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch tỷ giá hối đoái__1,,,,,,,,,,,,,,,,,,,,,
. Quỹ đầu tư phát triển__1,2519655753467.0,1497737922639.0,1348360054415.0,1139675421262.0,1057574691172.0,753114963010.0,679130704305.0,,,,,,,,,,,,,,
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,,
. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế chưa phân phối__1,595440074446.0,1243150165828.0,348166152224.0,360235354153.0,198424271844.0,414694359271.0,221464609705.0,,,,,,,,,,,,,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,595440074446.0,1243150165828.0,302616242224.0,360235354153.0,198424271844.0,414694359271.0,,,,,,,,,,,,,,,
- LNST chưa phân phối kỳ này__1,,,45549910000.0,,,,221464609705.0,,,,,,,,,,,,,,
. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,,
. Lợi ích cổ đông không kiểm soát__1,,,,,,,,,,,,,,,,,,,,,
. Phụ trội hợp nhất công ty con__1,,,,,,,,,,,,,,,,,,,,,
. Nguồn kinh phí và các quỹ khác__1,,,,,,,,,,,,,5529716663.0,2147242059.0,799963091.0,656424513.0,,,,,
.. Nguồn kinh phí__1,,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí đã hình thành TSCĐ__1,,,,,,,,,,,,,,,,,,,,,
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ__1,,,,,,,,,,,,11800000000.0,11800000000.0,4500000000.0,,,,,,,
Tổng cộng nguồn vốn__1,10862554292155.0,10101271295241.0,9591924923000.0,8350013449187.0,6989215957214.0,5529271823459.0,4615210727082.0,4220361698512.0,4013797151063.0,3550505115372.0,3201861704999.0,2150203655325.0,1394589024992.0,812543952201.0,619373987783.0,357903791365.0,,,,,
.. Đầu tư ngắn hạn__1,,,,,,,,88000555552.0,,,,,,,,,,,,,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__1,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,
.. Chi phí xây dựng cơ bản dở dang__1,,,,,,,,157630332538.0,73786802502.0,81018453630.0,59543611867.0,243121637090.0,136568437501.0,46073353115.0,4534604825.0,6236523072.0,,,,,
. Các khoản đầu tư tài chính dài hạn__1,,,,,,,,,,2528623617.0,2528623617.0,2416627000.0,6907827000.0,11929700000.0,13036200000.0,2010000000.0,,,,,
. Đầu tư dài hạn khác__1,,,,,,,,,,2528623617.0,2528623617.0,2416627000.0,6907827000.0,11929700000.0,,2010000000.0,,,,,
.. Vay và nợ ngắn hạn__1,,,,,,,,1221524135425.0,1408056154859.0,1439757021829.0,1042971600708.0,586780980553.0,377665605059.0,240558670506.0,298891834870.0,147241308814.0,,,,,
.. Phải trả người bán__1,,,,,,,,720922656238.0,471215254884.0,312202136808.0,236837181496.0,192757512008.0,76625314848.0,43188844080.0,46601039154.0,59179418806.0,,,,,
.. Người mua trả tiền trước__1,,,,,,,,25525142293.0,42321561057.0,46240497554.0,13969956667.0,13528808353.0,56101336140.0,34036656639.0,40529222999.0,5500000.0,,,,,
.. Chi phí phải trả__1,,,,,,,,74601656976.0,71936022260.0,96546329738.0,28606379697.0,30468733018.0,269770940.0,536750506.0,5202476072.0,619171422.0,,,,,
.. Phải trả nội bộ__1,,,,,,,,,,,,,,,,,,,,,
".. Các khoản phải trả, phải nộp ngắn hạn khác__1",,,,,,,,60412836790.0,33035501227.0,19379561358.0,42190685086.0,21734984258.0,5556996101.0,12274949503.0,840785024.0,13790364228.0,,,,,
.. Quỹ khen thưởng phúc lợi__1,,,,,,,,30872825421.0,,,,8804518355.0,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__2,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__1,,,,,,,,,,,,,,,,,,,,,
. Quỹ thưởng ban quản lý điều hành công ty__1,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,
.. Vay và nợ dài hạn__1,,,,,,,,167891776301.0,125535596264.0,145103506315.0,509978362955.0,432167091871.0,201284893031.0,140144637494.0,73343141380.0,52134813620.0,,,,,
.. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,
