field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2013],[2012],[2011],[2010],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[2014],[2009]
I - NỢ PHẢI TRẢ__1,246029127005.0,189320428004.0,191954615465.0,214618693457.0,203624081975.0,384025664776.0,,,,,,,,,,,,,,,,
. Nợ ngắn hạn__1,246029127005.0,189320428004.0,190189658169.0,214618693457.0,203624081975.0,334289635692.0,,,,,,,,,,,,,,,,
.. Phải trả người bán ngắn hạn__1,30280030077.0,15692662748.0,20634335798.0,18095926909.0,11820129279.0,18506963437.0,,,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,4192948093.0,2393519198.0,3910082405.0,1045827775.0,3093960908.0,346350600.0,,,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,1078750731.0,1532139312.0,777814016.0,819666406.0,56186640.0,134636344.0,,,,,,,,,,,,,,,,
.. Phải trả người lao động__1,11129546350.0,9743910787.0,8438078440.0,7087604809.0,6608222653.0,5624551920.0,,,,,,,,,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,208916858.0,358459762.0,1806251145.0,1325692001.0,1602657431.0,73721730944.0,,,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,,,14400000.0,,,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,4925655535.0,4055876101.0,2249628093.0,1355865754.0,1593172100.0,4942340194.0,,,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,190923784298.0,154064050077.0,151567268707.0,184679692466.0,178350207415.0,230197813410.0,,,,,,,,,,,,,,,,
.. Dự phòng phải trả ngắn hạn__1,1620927012.0,1027124925.0,,,,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",1668568051.0,452685094.0,806199565.0,194017337.0,499545549.0,815248843.0,,,,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,,,1764957296.0,,,49736029084.0,,,,,,,,,,,,,,,,
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,,,,,,49736029084.0,,,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,1764957296.0,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,134226809172.0,135991835025.0,115401952644.0,110604084659.0,80539242275.0,24775515307.0,,,,,,,,,,,,,,,,
I. Vốn chủ sở hữu__1,134226809172.0,135991835025.0,115401952644.0,110604084659.0,80539242275.0,24775515307.0,,,,,,,,,,,,,,,,
. Vốn góp của chủ sở hữu__1,97485790000.0,97485790000.0,97485790000.0,97485790000.0,97485790000.0,97485790000.0,,,,,,,,,,,,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết__1,97485790000.0,97485790000.0,97485790000.0,97485790000.0,,,,,,,,,,,,,,,,,,
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,,
. Thặng dư vốn cổ phần__1,4569156929.0,4569156929.0,4569156929.0,4569156929.0,4569156929.0,4569156929.0,,,,,,,,,,,,,,,,
. Quyền chọn chuyển đổi trái phiếu__1,,,,,,,,,,,,,,,,,,,,,,
. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu quỹ (*)__1,-18676666000.0,-18676666000.0,-18676666000.0,-18676666000.0,-18676666000.0,-18676666000.0,,,,,,,,,,,,,,,,
. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch tỷ giá hối đoái__1,,,,,209503521.0,209729341.0,,,,,,,,,,,,,,,,
. Quỹ đầu tư phát triển__1,,,,,,,,,,,,,,,,,,,,,,
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,,,
. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế chưa phân phối__1,50848528243.0,52613554096.0,32023671715.0,27225803730.0,-3048542175.0,-51709049582.0,,,,,,,,,,,,,,,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,19318428147.0,37894190981.0,20862458485.0,24115355781.0,469523837.0,16895929582.0,,,,,,,,,,,,,,,,
- LNST chưa phân phối kỳ này__1,31530100096.0,14719363115.0,11161213230.0,3110447949.0,-3518066012.0,-68604979164.0,,,,,,,,,,,,,,,,
. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,,,
. Lợi ích cổ đông không kiểm soát__1,,,,,,-7103445381.0,,,,,,,,,,,,,,,,
. Phụ trội hợp nhất công ty con__1,,,,,,,,,,,,,,,,,,,,,,
. Nguồn kinh phí và các quỹ khác__1,,,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí__1,,,,,,,,,,,,,,,,,,,,,,
.. Nguồn kinh phí đã hình thành TSCĐ__1,,,,,,,,,,,,,,,,,,,,,,
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ__1,,,,,,,,,,,,,,,,,,,,,,
