field,[2021],[2020],[2018],[2017],[2016],[2013],[2009],[2008],[2007],[2006],[2005],[2004],[2002],[2001],[2000],[1999],[1998],[1997],[1995],[1994],[2019],[2015],[2014],[2012],[2011],[2010],[2003]
.. Tài sản cố định vô hình__1,,,,,,,,,,,,,,,,,,,,,,,,2087170.0,8348686.0,14610202.0,
- Nguyên giá__3,,,,,,,,,,,,,,,,,,,,,,,,18784545.0,18784545.0,18784545.0,
- Giá trị hao mòn luỹ kế__3,,,,,,,,,,,,,,,,,,,,,,,,-16697375.0,-10435859.0,-4174343.0,
. Bất động sản đầu tư__1,819899567.0,708190801.0,925600105.0,603109396.0,670747828.0,,,,,,,,,,,,,,,,816895453.0,,,,,,
- Nguyên giá__4,1329703595.0,1087046615.0,1087046615.0,676384364.0,676384364.0,,,,,,,,,,,,,,,,1087046615.0,,,,,,
- Giá trị hao mòn luỹ kế__4,-509804028.0,-378855814.0,-161446510.0,-73274968.0,-5636536.0,,,,,,,,,,,,,,,,-270151162.0,,,,,,
. Tài sản dở dang dài hạn__1,46923052.0,70384577.0,70384577.0,,,,,,,,,,,,,,,,,,70384577.0,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,46923052.0,70384577.0,70384577.0,,,,,,,,,,,,,,,,,,70384577.0,,,,,,
. Đầu tư tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
". Đầu tư vào công ty liên kết, liên doanh__1",,,,,,,,,,,,,,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Dự phòng giảm giá đầu tư dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__1,129469970.0,179481400.0,81863889.0,61284722.0,,141770277.0,5300000.0,,,,,,,,,,,,,,178879811.0,39674851.0,461964066.0,44195000.0,5300000.0,5300000.0,
. Chi phí trả trước dài hạn__1,129469970.0,179481400.0,81863889.0,61284722.0,,136470277.0,,,,,,,,,,,,,,,178879811.0,39674851.0,456664066.0,8895000.0,,,
. Tài sản thuế thu nhập hoãn lại__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản dài hạn khác__2,,,,,,5300000.0,5300000.0,,,,,,,,,,,,,,,,5300000.0,35300000.0,5300000.0,5300000.0,
". Ký quỹ, ký cược dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,,,,,
. Lợi thế thương mại__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tổng cộng tài sản__1,13626148769.0,13309214634.0,13642316665.0,13807172650.0,14493814930.0,13283397383.0,12971291218.0,,,,,,,,,,,,,,13304777081.0,14535890028.0,14474329120.0,14103191489.0,13807003995.0,13880844926.0,
I - NỢ PHẢI TRẢ__1,3493687678.0,3220330359.0,2965780912.0,3041189899.0,3698579681.0,2675137042.0,2882402473.0,,,,,,,,,,,,,,2971774569.0,3651586780.0,3492795340.0,3482117842.0,3403477822.0,3567043006.0,
. Nợ ngắn hạn__1,3400687661.0,3172330359.0,2869917275.0,2915326259.0,3535488770.0,2675137042.0,1801585723.0,,,,,,,,,,,,,,2936229114.0,3651586780.0,3492795340.0,3482117842.0,3324460947.0,3486226256.0,
.. Phải trả người bán ngắn hạn__1,,,33250000.0,18750000.0,72750000.0,,,,,,,,,,,,,,,,,477000000.0,,,,,
.. Người mua trả tiền trước ngắn hạn__1,,100800000.0,,,,,,,,,,,,,,,,,,,,,,,,,
..Thuế và các khoản phải nộp Nhà nước__1,,13852354.0,11284267.0,50517508.0,64462833.0,178384313.0,36652424.0,,,,,,,,,,,,,,5376196.0,102139503.0,282490756.0,127191916.0,93369336.0,80564284.0,
.. Phải trả người lao động__1,382222070.0,336510971.0,261767189.0,279777089.0,442696483.0,506175139.0,47540806.0,,,,,,,,,,,,,,442282682.0,766390293.0,827295009.0,566488399.0,376794540.0,430745092.0,
.. Chi phí phải trả ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,78454537.0,46636363.0,156181818.0,117454544.0,101090909.0,,,,,,,,,,,,,,,,71136364.0,,,,,,
.. Phải trả ngắn hạn khác__1,2392891536.0,2120911153.0,1819064483.0,1853801667.0,2272256257.0,,,,,,,,,,,,,,,,1843464354.0,1746557782.0,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,543400000.0,543400000.0,543400000.0,543400000.0,543400000.0,,,,,,,,,,,,,,,,543400000.0,543400000.0,,,,,
.. Dự phòng phải trả ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",3719518.0,10219518.0,44969518.0,51625451.0,38832288.0,,,,,,,,,,,,,,,,30569518.0,16099202.0,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Nợ dài hạn__1,93000017.0,48000000.0,95863637.0,125863640.0,163090911.0,,1080816750.0,,,,,,,,,,,,,,35545455.0,,,,79016875.0,80816750.0,
